Date : 2021-11-22 03:48:53
Directory : /Users/selim/Desktop/ops
Total : 62 files,  4193 codes, 158 comments, 1000 blanks, all 5351 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| /Users/selim/Desktop/ops/blackops/streams/btcturk.py                 | Python           |         25 |          1 |         16 |         42 |
| /Users/selim/Desktop/ops/blackops/taskq/__init__.py                  | Python           |          1 |          0 |          1 |          2 |
| /Users/selim/Desktop/ops/blackops/taskq/redis.py                     | Python           |          6 |          1 |          6 |         13 |
| /Users/selim/Desktop/ops/blackops/taskq/task_ctx.py                  | Python           |         32 |          1 |         10 |         43 |
| /Users/selim/Desktop/ops/blackops/taskq/tasks.py                     | Python           |         61 |         12 |         39 |        112 |
| /Users/selim/Desktop/ops/blackops/trader/__init__.py                 | Python           |          1 |          0 |          1 |          2 |
| /Users/selim/Desktop/ops/blackops/trader/factory.py                  | Python           |        143 |          2 |         51 |        196 |
| /Users/selim/Desktop/ops/blackops/util/is_unique.py                  | Python           |         13 |          0 |         13 |         26 |
| /Users/selim/Desktop/ops/blackops/util/logger.py                     | Python           |         29 |          5 |         22 |         56 |
| /Users/selim/Desktop/ops/blackops/util/numbers.py                    | Python           |          2 |          0 |          2 |          4 |
| /Users/selim/Desktop/ops/blackops/util/push.py                       | Python           |          9 |          0 |          3 |         12 |
| /Users/selim/Desktop/ops/blackops/util/push_events.py                | Python           |          3 |          0 |          3 |          6 |
| /Users/selim/Desktop/ops/blackops/util/ws.py                         | Python           |         22 |          6 |          9 |         37 |
| /Users/selim/Desktop/ops/docker-compose.yml                          | YAML             |          7 |         11 |          5 |         23 |
| /Users/selim/Desktop/ops/docker-entrypoint.sh                        | Shell Script     |          3 |          4 |          8 |         15 |
| /Users/selim/Desktop/ops/exp/aiotask.py                              | Python           |          8 |          0 |          8 |         16 |
| /Users/selim/Desktop/ops/poetry.lock                                 | toml             |      2,524 |          0 |        217 |      2,741 |
| /Users/selim/Desktop/ops/requirements.txt                            | pip requirements |         80 |          0 |          1 |         81 |
| /Users/selim/Desktop/ops/scripts/clean.sh                            | Shell Script     |          3 |          3 |          5 |         11 |
| /Users/selim/Desktop/ops/setup-dev.sh                                | Shell Script     |          5 |          0 |          7 |         12 |
| /Users/selim/Desktop/ops/static/index.html                           | HTML             |         29 |          0 |         14 |         43 |
| /Users/selim/Desktop/ops/static/logs.html                            | HTML             |        155 |          0 |         80 |        235 |
| /Users/selim/Desktop/ops/tests/__init__.py                           | Python           |          0 |          0 |          1 |          1 |
| /Users/selim/Desktop/ops/tests/realtime.py                           | Python           |         29 |          0 |         15 |         44 |
| /Users/selim/Desktop/ops/wtf.yml                                     | YAML             |         35 |          0 |          9 |         44 |
| Total                                                                |                  |      4,193 |        158 |      1,000 |      5,351 |
+----------------------------------------------------------------------+------------------+------------+------------+------------+------------+
